pro_code,pro,year,pop,rubanpop,ruralpop,gdp_nominal,gdp_1952,revenue,price_index,agri_total_employed,agri_total_output_nominal,agri_total_output_1952,crop_total_output_nominal,crop_total_output_index,crop_production,cotton_production,oil_production,livestock_num,working_livestock_num,pigs_num,sheep_num,machine_power,irrigated_area,crop_cultivation_area,oil_cultivation_area,crop_cultivation_area,fertilizer,electric,crop_procurement,crop_transfer,total_collective_percent,mutual_group_percent,primary_collective_percent,advanced_collective_percent,ind_total_employed,ind_total_output_nominal,ind_total_output_weighted,heavy_total_output_value_nominal,light_total_output_value_nominal,coal_production,steel_production,steel_product_production,cement_production,electric_power_production,infrastructure_total_invest,infrastructure_fixed_assets,infrastructure_rail,infrastructure_road,primary_num,middle_num,college_num,private_sector_num_1953,coop_sector_num_1953,coop_sector_num_1954,coop_sector_num_1955,coop_sector_num_1956,private_employees_1953,private_industry_output_1953,coop_employees_num_1956,coop_output_1956
11,Beijing,1950,439.3,178.7,241.4,4.63,,0.66,,,1.07,,,,54,0.8,2.7,24.9,,42.9,10.9,,16,﻿５３９,34,20,0.004,0.0015,,,,,,,,1.52,,2.34,1.21,80.6,0.1,0.09,11.1,2,,0.3,,,34.87,5.39,1.69,7061,16,23,60,518,95510,408210,83825,494845
11,Beijing,1951,463.6,179.8,259.5,7.66,,1.4,114.2,,1.76,,,,62.3,0.5,3.4,26.7,,49.4,14.8,,20,﻿５４１,39,23,0.005,0.0034,,,24.09,24.09,,,,2.52,,4.57,2.35,174.1,0.1,0.11,13.1,2.3,,0.9,135,,43.37,5.87,2,,,,,,,,,
11,Beijing,1952,489.9,201.3,262.3,7.88,100,2.09,104.1,,1.75,100,,,73.3,0.8,4.3,32.2,,61,21.8,,25,﻿５６２,42,31,0.01,0.0051,,,58.41,58.33,0.081,,,2.69,100,5.08,3.24,222,0.2,0.24,20.4,2.8,,1,135,,57.87,8.34,3.06,,,,,,,,,
11,Beijing,1953,512.9,241.3,271.2,19.28,237.3,3.66,110,,3.37,193.3,,,80.1,0.5,3.8,33.5,,61.4,26.5,,24,﻿６００,35,20,0.01,0.004,15,72.3,38.33,37.52,0.759,0.051,,6.12,227.5,7.01,4.88,187.7,0.4,0.5,26.7,3.5,6.71,4.6,160,,58.41,10.47,3.73,,,,,,,,,
11,Beijing,1954,555.7,282.1,273.6,21.13,259.4,3.98,101.8,,3.01,168.8,,,58.2,0.6,3.3,37.3,,68.1,31.8,,24,﻿５６６,43,41,0.03,0.003,9.9,74.7,58.94,50.77,5.085,3.093,,6.85,255,8.32,5.4,178.4,0.4,0.5,29.1,3.9,8.36,7.3,166,,60.44,12.71,4.67,,,,,,,,,
11,Beijing,1955,563.8,287.8,276,23.88,293.1,4.06,100.8,,3.44,196.4,,,73.4,1,4.7,35.7,,50.2,25.6,,24,﻿５６９,42,42,0.08,0.0045,13.2,70.5,56.11,12.5,35.516,8.97,,7.6,283.1,9.34,5.92,197.1,0.6,0.94,35,4.4,7.52,6.4,228,,63.58,15.01,5.74,,,,,,,,,
11,Beijing,1956,617.5,328.1,289.4,26.83,342.3,5.81,100.3,,3.32,190.3,,,57,0.6,3.7,35.1,,59.3,28.8,,36,﻿５６８,41,43,0.1,0.0111,3.4,89.6,99.6,,,99.6,,8.67,368.9,12.5,8.53,184.5,1.3,0.95,41.6,5.7,9.37,8.9,263,,69.87,19.62,7.67,,,,,,,,,
11,Beijing,1957,633.4,349.1,284.3,32.81,429.3,6.4,100.8,,3.49,217.4,21210,100,78.4,0.6,3.3,32.7,25.2,89.2,31.1,2.2,39,﻿５７２,36,28,0.21,0.0316,16.3,85,,,,,,12.4,527.8,12.47,8.96,256.8,2.8,1.09,44.6,7,8.74,7.5,265,1155,72.88,23.19,7.97,,,,,,,,,
11,Beijing,1958,658.8,365.2,293.6,34.52,461.9,11.47,99.5,,3.93,216.7,24234,114.3,84.4,0.8,3.5,32,22.6,89.2,39,,95,﻿５０４,30,27,0.2,0.1406,13.4,92.8,,,,,,17.32,649.8,22.51,23.51,459.5,12,5.18,50.3,10.5,12.2,12.1,448,1328,82.08,27.09,9.78,,,,,,,,,
11,Beijing,1959,706.9,421,285.9,46.28,640.7,15.38,99.7,,3.96,220.4,24198,114.1,57.9,0.3,1.4,30.6,21.9,84.1,46.2,,137,﻿４５１,31,15,0.34,0.2473,7.8,111.4,,,,,,25.13,972.7,33.98,36.31,673.8,38,25.19,58.4,20.6,16.87,17.9,519,2017,91.62,30.51,11.3,,,,,,,,,
11,Beijing,1960,739.6,460.3,279.3,57.47,792.5,20.2,99.6,,4.01,217.3,21660,102.1,55.2,0.2,0.9,28.6,18.8,73.6,53.9,10,149,﻿４３２,22,12,0.66,0.2813,6.7,125.6,,,,,,33.57,1273.2,39.74,53.65,839.4,62.1,36.62,79.2,30.6,16.89,16.8,520,2028,102.66,36,15.12,,,,,,,,,
11,Beijing,1961,729.2,438.7,290.5,36.55,407.7,13.2,103.6,,3.74,198.4,22303,105.2,60.8,0.2,0.9,26.8,18.1,60.6,60.3,,101,﻿４６０,17,12,0.97,0.1839,10.4,109.6,,,,,,18.8,678.6,25.48,29.61,781.4,33.1,29.09,53.8,28.7,6.71,6.8,522,2058,103.83,34.36,12.71,,,,,,,,,
11,Beijing,1962,732.2,425.6,306.6,29.59,367.6,9.09,104.3,,3.74,200.6,25280,119.2,79.2,0.3,1.9,27,18.9,77.5,69.8,14.8,108,﻿４７４,17,13,0.86,0.4191,12.2,98.6,,,,,,14.83,518.5,22.22,19.81,652.9,10.6,17.1,51,26.3,2.73,2.8,522,2062,105.02,34.14,12.87,,,,,,,,,
11,Beijing,1963,757.9,439.2,318.7,31.72,389.3,10.11,100.4,119.9,4.12,218.6,25823,121.7,85.5,0.5,1.8,28.3,19.9,105.4,75.2,,161,﻿４６０,22,15,0.13,1.1,14.5,95.6,,,,,71,16.6,567.2,22.37,21.28,632.9,10.4,22.96,74.7,27.5,3.99,3.7,524,2200,111.44,36.11,12.18,,,,,,,,,
11,Beijing,1964,776.3,449.1,327.2,35.99,447,10.62,98.8,,4.83,247.3,26991,127.3,97.5,0.7,1.8,29.1,20.3,133.6,54,,207,﻿４９３,22,18,1.5,1,16.3,99.7,,,,,,18.95,660.2,24.27,25.13,568.6,16.3,35.78,88.9,32.3,5.9,5.6,524,2291,122.77,39.46,11.56,,,,,,,,,
11,Beijing,1965,787.1,454.3,332.8,39.79,520.3,10.98,94.5,,4.96,262.4,32950,155.4,119.2,0.9,2.2,30.8,21.7,145.4,47,24.1,245,﻿４９４,20,19,1.7,1.7,18.6,99.5,,,,,,21,774.5,26.67,32.5,529,35.6,44.39,99.9,38.2,8.43,7.9,524,2480,132.08,46.49,11.14,,,,,,,,,
11,Beijing,1966,782,440.4,341.6,44.41,577.5,12.09,99.8,,5.24,273.6,31650,149.2,110.2,0.7,2.2,32.2,21.8,150.1,50.2,27.9,252,﻿５９２,20,20,2.5,1.9,17.9,101,,,,,,26.31,950.3,30.33,41.2,534.3,63.5,53.77,60,44.1,5.9,5.8,523,2619,122.66,37.89,11.12,,,,,,,,,
11,Beijing,1967,796.4,447.4,349,37.86,508.8,9.9,100,,5.3,272.3,32164,151.6,113.5,0.6,1.9,33,22,144.5,54.4,30.6,247,﻿５４４,21,19,3.2,1.9,19.2,101,,,,,,20.73,803,30.4,34.29,428.4,49,38.28,61.9,41.8,4.11,3.8,522,2837,134.09,44.62,11.12,,,,,,,,,
11,Beijing,1968,794.7,437.9,356.8,37.82,504.7,9.89,99.5,,5.48,275.3,31081,146.5,127.4,0.9,2.1,33.5,22.4,128.9,54.1,33.2,256,﻿５２２,20,18,3.1,2.3,22.8,102,,,,,,20.49,793.3,32.27,35.95,471.8,32.8,40.97,110.7,43.2,3.55,3.8,522,2963,130.99,51.95,4.39,,,,,,,,,
11,Beijing,1969,779.6,412.2,367.4,50.63,696,15.64,100.4,,4.71,237,28366,133.7,116,0.6,1.5,34,22.6,121.3,62.5,38,262,﻿５３８,19,20,3.1,2,18,100,,,,,,31.53,1221,40.99,56.24,532.1,72.5,61.8,121.7,52.3,6.89,6.9,590,3023,129.99,51.25,1.31,,,,,,,,,
11,Beijing,1970,784.3,409.9,374.4,63.37,1004.3,21.62,98.8,,6.48,324.2,36309,171.2,140.9,1.2,2,34.59,23.3,129.99,59.91,42.4,278,﻿５３９,18,20,3.8,2,21.2,100,,,,,,42.61,1980.4,44.27,84.91,624.9,110.2,73.61,131.4,61.1,8.56,8.7,605,3143,135.85,50.91,0.88,,,,,,,,,
11,Beijing,1971,797.4,418.7,378.7,61.14,1119.8,26.85,100.2,,6.28,239.7,52205,176.2,142.3,1.2,2.2,34.5,23.5,172.8,58.8,53.9,283,﻿５５８,18,21,4.8,2.5,20,100,,,,,,39.75,2208.1,37.57,73.06,680.1,134.3,80.97,127.6,67.9,7.85,7.7,579,3226,140.56,55.13,1.4,,,,,,,,,
11,Beijing,1972,809.2,430.4,378.8,67.19,872,31.52,100.2,,5.37,381.5,37854,161.5,117.8,0.7,1.7,33.3,23.2,183.8,54.1,66.5,276,﻿５４５,18,21,4.8,3.2,17.8,105,,,,,,44.8,1751,40.11,76.79,691.8,148.9,92.91,130.1,72.3,7.82,7.6,592,3383,141.84,62.94,2.24,,,,,,,,,
11,Beijing,1973,826,437.1,388.9,73.03,1051.7,30.87,100.3,,6.03,418.5,57542,194.2,152.9,1,2,33.3,22.9,178.8,55.5,83.4,289,﻿５６０,19,21,6.2,3,28.8,105,,,,,,47.8,1859.6,45.19,80.31,706.3,161,94.5,136.6,75.2,10.45,10.3,674,5802,131.71,73.12,3.35,,,,,,,,,
11,Beijing,1974,836.8,445.1,391.7,80.19,1152.6,36.12,99.9,135.1,5.6,413.9,64339,217.2,170.7,1.1,2.3,32.1,22.5,196.6,53.4,101.7,308,﻿５７４,19,20,7.5,3.7,32.9,107.6,,,,,126.7,47.59,2054.9,49.62,87.15,736.9,161.8,93.16,153,83.2,14.25,13.8,695,6342,112.19,94.67,4.16,,,,,,,,,
11,Beijing,1975,844.4,454.6,389.8,91.25,1304.8,39.35,100,127,6.04,421,67745,228.7,183.9,1,2.1,32,22.13,234.86,55.97,124.4,325,﻿５９７,20,20,8.1,4.9,39.3,100,,,,,147,52.95,2190.5,54.33,94.42,749,165.8,92.77,165.2,90.4,19.43,18.7,697,6695,102.16,108.63,4.45,,,,,,,,,
11,Beijing,1976,845.1,456,389.1,93.84,1347.9,37.79,99.68,128.8,5.58,462.6,66366,224,170.4,0.4,2,31.3,21.84,235.37,56.29,143.7,331,﻿５８９,25,20,11.2,5.1,32.8,110,,,,,160.1,56.09,2304.4,57.64,98.78,747.5,163,86.93,165.2,92.7,13.89,13.5,697,6562,89.2,126.28,4.6,,,,,,,,,
11,Beijing,1977,860.5,464.9,395.6,99.09,1439.5,42.77,99.92,126.6,5.17,427.5,60506,204.2,150.4,0.5,1.8,31.26,21.99,241.49,56.63,166.1,337,﻿５７９,25,13,11.4,5.1,29.5,140,,,,,166.4,59.85,2408.1,61.36,107.86,780.3,151.2,93.26,191.5,100.1,14.55,17.2,698,7278,91.49,130.56,4.08,,,,,,,,,
11,Beijing,1978,871.5,479,392.5,108.84,1590.9,50.46,100.63,125.9,5.63,465.9,70665,238.5,186,0.3,2.6,30.42,21.53,248.35,56.19,189.4,341.7,﻿５６１,33,13,10.2,5.9,27.8,140,,,,,177.9,62.55,2706.7,67.96,125.2,818.7,191,116.81,196.9,99.1,20.43,22.6,699,7339,93.73,113.19,4.86,,,,,,,,,
11,Beijing,1979,897.1,510.3,386.8,120.11,1745,47.75,101.84,121.4,5.17,489.2,67637,228.3,180.7,0.1,2.6,29.19,20.45,246.75,57.29,212.2,340.8,﻿５６０,30,2,11.6,6.3,27.7,142.5,,,,,195.2,70.22,2980.1,76.84,136.53,711.1,196.5,137.53,217.4,104.3,24.27,26.5,700,7427,96.87,88.2,5.51,,,,,,,,,
12,Tianjin,1950,407.14,199.7,207.44,7.55,,1.91,,,1.22,,1.37,62.3,36.28,0.26,0.26,14.42,12.63,14.36,4.21,0.59,49.9,515.9,5.8,17.9,0.23,0.05,,,,,,,,3.42,,1.43,8.77,,1.62,1.66,,2.98,,0.19,,,32.34,3.45,0.57,7980,30,70,232,1366,120823,1047385,156905,1670971
12,Tianjin,1951,424.2,215.51,208.69,11.45,,3.24,114.6,,1.62,,1.9,86.3,45.66,0.33,0.43,14.91,13.17,14.8,4.41,0.74,54,540.7,6,19.7,0.26,0.08,,,,,,,,5.88,,2.22,12.87,,4.36,3.79,,3.6,,0.45,,,41.12,3.98,0.67,,,,,,,,,
12,Tianjin,1952,439.22,225.41,213.81,12.8,100,3.88,101.8,,1.85,100,2.21,100,55.85,0.46,0.67,16.92,15,16.79,4.6,0.81,68.6,626.2,6.5,19.5,0.36,0.08,,,39.65,36.75,2.908,,,6.12,100,3,14.54,,6.98,8.84,,3.92,,1.03,,,50.64,5.75,0.75,,,,,,,,,
12,Tianjin,1953,462.21,243.01,219.2,17.58,133.4,5.82,108.5,,1.76,96.6,1.86,84.2,51.28,0.35,0.5,44335,16.16,16.78,4.57,0.9,73,606.3,7.5,20.1,0.57,0.07,5.6,78.3,21.15,19.11,2.036,,,8.18,134.2,5.21,19.05,,8.75,10.51,,4.52,1.56,1.58,,,51.26,7.63,0.83,,,,,,,,,
12,Tianjin,1954,478.37,260.63,217.74,16.98,127.1,5.87,101.8,,1.79,98.4,1.67,75.8,42.56,0.27,0.37,21.14,17.24,15.94,6.63,1.09,76.5,589.9,9.7,25.8,0.8,0.07,6.4,76.9,35.29,29.28,6.012,,,8.51,140.1,6.07,21.74,,9.65,13.15,,5.5,1.94,2.02,,,54.18,10.17,1.07,,,,,,,,,
12,Tianjin,1955,487.32,258.79,228.53,17.12,130.3,6.1,100.1,,2.35,129.5,2.25,101.9,63.22,0.41,0.65,20.22,16.23,12.15,4.94,1.38,81.4,571.1,8.8,21.1,1.3,0.08,8.9,48.1,54.81,20.42,34.37,0.016,,8.89,150.1,6.62,22.55,,13.47,16.97,,5.86,1.32,1.39,,,56.12,12.66,1.14,,,,,,,,,
12,Tianjin,1956,506.91,273.73,233.17,20.7,161.1,6.68,99.8,,2.26,126.7,2.24,101.3,57.07,0.44,0.68,20.5,15.96,17.51,6.47,2.91,119.3,566.8,9.9,24.5,1.47,0.15,9.9,39.4,98.3,,,98.3,,10.54,187.9,10.32,29.37,,18.71,26.01,,6.91,1.91,2.03,,,61.39,15.4,1.33,,,,,,,,,
12,Tianjin,1957,529.65,294.27,235.38,24.11,182.8,7.99,101.8,,2.49,137.2,2.54,115,72.17,0.39,0.5,21.14,15.62,25.85,10.43,3.32,143.3,555,6.9,18.2,1.96,0.22,10.8,49.6,,,,,,12.86,221.1,11.99,27.33,,21.29,39.43,,7.4,2.24,2.4,,,65.07,17.31,1.55,,,,,,,,,
12,Tianjin,1958,548.29,310.62,237.68,32.49,237.3,16.31,98.6,,2.28,128.3,2.13,96.6,46.69,0.37,0.49,18.43,13.72,33.65,15.15,5.34,180.3,522.5,6.5,19.1,2.55,0.24,5.7,73.9,,,,,,21.34,358,24.74,37.66,,23.12,49.43,0.31,9.08,5.57,5.86,,,72.65,18.04,2.22,,,,,,,,,
12,Tianjin,1959,567.52,328.95,238.57,41.25,295.2,22.38,100,,2.8,157,2.45,110.8,51.88,0.21,0.48,18.3,13.33,32.09,15.49,7.03,187.5,482.1,7.7,13.5,2.27,0.36,7.4,82.8,,,,,,28.08,462.2,35.13,50.49,,26.38,54.75,1.9,10.57,6.02,6.43,,,80.35,18.98,2.78,,,,,,,,,
12,Tianjin,1960,583.53,341.34,242.19,42.66,304.9,22.43,101.3,,2.65,148.4,2.21,99.9,46.58,0.2,0.18,15.11,10.89,17.55,15.69,8.31,198.6,456.3,4.4,13.3,2.72,0.69,5.1,75,,,,,,28.46,470,45.67,52.98,,40.1,78.44,7.21,11.38,6.94,7.54,,,83.5,18.59,3.17,,,,,,,,,
12,Tianjin,1961,584.23,337.01,247.22,28.41,195.5,11.88,112.3,,2.52,139.3,2.19,93.3,47.22,0.19,0.15,14.23,10.77,14.01,23.41,9.25,154.6,477.9,3.5,9.8,2.36,0.99,6.3,79,,,,,,15.98,243.9,20.25,30.26,,21.7,45.54,3.47,2.83,2.09,2.54,,,84.32,17.6,3.65,,,,,,,,,
12,Tianjin,1962,595.63,333.12,262.51,24.25,167.1,9.77,100.1,,2.12,118.4,2.08,84.4,44.3,0.1,0.16,14.48,11.02,15.48,35.48,11.51,170.5,486.4,4.1,10.7,2.49,1.29,6.5,77.5,,,,,,13.69,214.2,15.63,27.63,,15.33,34.85,1.59,8.68,1.4,1.86,,,85.02,18.25,3.1,,,,,,,,,
12,Tianjin,1963,615.33,342.73,272.6,26.65,182.2,10.06,97,,2.27,121.8,2.41,99.4,65.19,0.25,0.36,15.26,11.41,23.34,34.49,13.3,173.1,497,5.2,12.7,3.42,1.21,10.4,74.1,,,,,,15.63,245.2,17.62,29.18,,17.47,40.48,1.42,8.91,2.04,2.58,,,90.14,19.98,2.83,,,,,,,,,
12,Tianjin,1964,629.52,349.64,279.88,30.59,211.1,12.82,95.1,,2.3,124.6,2.32,105.3,67.14,0.34,0.44,15.98,11.58,31.18,24.52,16.29,199.4,492.8,6.3,13.3,3.81,1.55,11.4,76,,,,,,19.28,309,21.94,33.21,,27.2,50.17,5.09,9.86,2.94,3.59,,,104.29,25.28,2.78,,,,,,,,,
12,Tianjin,1965,637.8,350.19,287.61,35.96,256.5,13.33,96.4,,3.91,211,3.9,167.1,117.17,0.42,0.39,17.06,12.5,50.03,15.53,17.9,219.8,555.5,5.5,12.6,5.32,1.67,13.2,75,,,,,,22.34,363.7,29.02,41.1,,36.87,60.55,9.63,11.52,2.18,2.91,,,113.18,32.12,2.8,,,,,,,,,
12,Tianjin,1966,640.85,344.36,296.49,39.31,272.4,15.91,99.3,,2.69,145,3.03,137.3,82.11,0.43,0.49,19.36,14.11,68.67,16.3,18.81,208.1,609.3,6.7,14.7,6.27,1.94,11.4,76,,,,,,26.17,419,36.77,47.62,,45.72,71.77,12.3,12.65,2.89,3.84,,,112.4,32.04,1.65,,,,,,,,,
12,Tianjin,1967,649.72,347.35,302.37,33.62,239.4,12.64,99.4,,3.5,185.1,3.57,161.5,102.2,0.48,0.53,20.12,14.77,72.64,19.79,21.84,205.3,604.7,7.3,14.8,7.3,1.85,14.7,75,,,,,,20.3,327.6,29.38,42.1,,32.16,45.18,11.2,13.03,1.21,1.73,,,111.45,30.48,1.3,,,,,,,,,
12,Tianjin,1968,655.04,344.94,310.1,34.77,258.4,12.75,99.9,,3.6,190.7,3.47,157,105.91,0.62,0.6,20.95,15.3,56.9,24.99,22.97,235.7,584.7,6.9,13.8,8.56,2.1,12,76,,,,,,20.64,359.4,33.2,45.65,,33.7,52.64,10,13.1,1.43,2.13,,,115.49,34.91,0.84,,,,,,,,,
12,Tianjin,1969,650.75,329.53,321.22,42.87,316.8,19.52,100.6,,3.46,182.5,2.98,134.8,85.84,0.35,0.37,21.21,15.58,41.32,25.52,26.02,224.3,618,6.6,14.5,11.72,2.81,2.3,75,,,,,,28.39,502.1,44.65,58.1,,38.47,57.6,14.7,18.44,2.69,3.89,,,117.08,35.23,0.35,,,,,,,,,
12,Tianjin,1970,652.7,313.28,339.43,50.99,372.2,28.02,99.1,,3.8,199.4,4.06,184,117.47,0.53,0.42,22.01,16.5,56.18,25.23,30.07,260.7,621.6,6.1,15,12.05,2.98,7.9,80,,,,,,35.08,610.1,58.71,65.3,,48.62,66.59,21.7,21.09,4.71,6.17,,,111.69,36.45,0.03,,,,,,,,,
12,Tianjin,1971,663.41,319.9,343.5,55.12,405.7,32.35,99.9,,3.89,200.8,3.79,171.8,118.88,0.55,0.56,22.65,17.43,88.64,26.4,35.07,277.9,601.9,7.3,15.1,13.53,3.45,6.8,75,,,,,,38.33,677.8,55.4,54.64,,66.55,85.65,23.9,28.23,4.91,6.56,,,114.17,40.38,0.25,,,,,,,,,
12,Tianjin,1972,674.65,328.99,345.66,56.37,423.1,31.22,100,,3.46,175.3,2.73,121,77.63,0.34,0.5,22.95,17.72,86.7,23.82,41.12,277.7,580.5,7.9,16.4,12.32,3.68,1.9,80,,,,,,38.95,713,56.53,57.49,,79.66,91.79,25.97,29.27,5.8,7.98,,,111.42,51.79,0.64,,,,,,,,,
12,Tianjin,1973,683.31,332.76,350.55,60.33,456.1,34.67,100.4,,3.92,205.6,3.3,149.5,98.52,0.39,0.47,23.4,18.37,76.61,22.1,54.39,288.5,629.1,8.2,17.6,15.26,3.41,4.4,84.8,,,,,,40.68,749.4,63.14,61.88,,87.85,105.63,24.77,31.66,8.7,11.93,,,103.66,59.64,1.04,,,,,,,,,
12,Tianjin,1974,692.47,335.59,356.88,66.69,504,36.98,99.7,,4.79,246.2,4.5,203.6,138.4,0.5,0.6,23.9,19.03,88.32,21.11,67.26,316.4,641.9,8.5,18,13.81,3.37,26.4,82.1,,,,,,44.52,819.1,68.84,66.51,,86.73,104.77,28.08,37.26,11.04,15.61,,,99.85,65.61,1.42,,,,,,,,,
12,Tianjin,1975,702.86,343.98,358.88,69.73,525.7,39.17,100.1,,4.37,226.2,4.27,193.2,129.28,0.55,0.84,24.56,19.91,116.35,24.49,81.97,341.4,640.5,12.2,20.5,12.27,3.73,24.6,70,,,,,,47.73,879.7,73.74,72.69,,96.69,115.47,29.11,44.99,11.63,16.25,,,91.84,76.34,1.53,,,,,,,,,
12,Tianjin,1976,706.5,345.54,360.96,65.25,494.7,33.3,100,,4.01,207.4,4.04,182.7,119.61,0.21,0.72,24.31,19.65,115,23.93,92.21,341.9,633.2,15.1,19.7,16.2,4.04,19.4,82.5,,,,,,43.84,814.6,68.88,68.88,,71.41,97.89,26.04,47.45,9.96,13.58,,,83.17,82.66,1.71,,,,,,,,,
12,Tianjin,1977,712.87,347.19,365.68,67.73,512.5,33.27,100.3,,3.56,183,3.26,147.7,87.91,0.17,0.48,23.75,19.41,102.5,21.64,114.09,346.9,613.4,15.3,19.2,18.14,5.21,8.5,105,,,,,,44.81,834.1,71.42,69.22,,77.76,84.83,33.33,47.28,11.06,15.77,,,79.58,84.1,1.63,,,,,,,,,
12,Tianjin,1978,724.27,358.45,365.82,82.65,619.6,39.25,100,,5.03,211.5,5.25,186.5,117.1,0.23,1,23.14,19.03,100.38,22.48,176.84,370.9,601,19.4,18.9,29.03,5.31,12.6,112.5,,,,,,54.39,1010.1,80.83,79.18,,101.75,121.84,47.34,51.68,15.61,20.3,,,78.68,81.31,2.32,,,,,,,,,
12,Tianjin,1979,739.42,380.57,358.85,93.01,681.6,37.64,101.1,,6.54,248.3,6.91,214,138.69,0.11,1.51,22.41,18.77,100.83,26.57,189.71,380.9,585.1,24.6,10.2,32.36,6.11,19.8,102.5,,,,,,61.01,1115.2,88.54,86.53,,109.53,128.87,56.52,52.56,19.04,24.77,,,80.15,69.55,2.82,,,,,,,,,
13,Hebei,1950,3147,273,2874,,72.7,2.71,,,,82.6,20.43,78.7,606.17,18.1,30.18,322.78,268.49,388.13,202.56,,794.05,7387.5,304.2,826.1,0.15,,,,27.6,27.59,0.0008,,,,,1.71,5.98,671,1.39,1.04,19.77,2.94,,0.2,,,257.4,4.9,0.2,6040,29,33,69,310,82460,180380,52497,312214
13,Hebei,1951,3205,282,2923,,80.2,3.66,113,,,86.7,21.36,82.2,579.94,23.04,31.08,342.49,288.62,423.59,238.02,,847.87,7157.1,335.4,1011.6,0.18,,,,41.82,41.81,0.0026,,,,,2.15,8.1,908,3.68,2.29,29.9,3.55,,0.36,,,306.04,7.1,0.2,,,,,,,,,
13,Hebei,1952,3272,319,3000,40.49,100,4.44,102.8,,25.23,100,24.71,100,772.19,28.14,30.99,369.92,308.3,502.85,306.05,,962.82,7418.8,348.8,978.1,0.48,,,,41.99,41.85,0.14,,,7.61,100,4.07,10.32,997,6.61,3.8,31.98,4.22,,1.47,34,7626,372.28,12.77,0.21,,,,,,,,,
13,Hebei,1953,3343,343,3076,42.48,99.6,5.25,102.4,,24.1,88.3,23.56,88.7,685.71,21.42,26.61,370.47,298.22,421.96,363.34,,997.9,7646.2,303.5,900.1,0.84,0.01,163.6,28.2,42.04,41.29,0.747,,,8.38,109.1,4.94,11.43,973,9.29,5.63,44.08,4.85,2.71,2.24,34,8085,367.2,16.44,0.28,,,,,,,,,
13,Hebei,1954,3443,367,3142,45.31,106.4,6.19,103.7,,25.38,91,24.58,91.2,678.19,24.84,36.72,388.21,305.77,397.62,420.86,,1023.98,7822.7,365.6,1077.8,1.35,0.03,176.8,70.2,57.04,55.45,7.347,0.01,,9.14,126.9,6.04,14.24,1157,15.41,7.1,45.53,5.79,3.07,3.14,34,8626,369.6,21.17,0.35,,,,,,,,,
13,Hebei,1955,3529,387,3076,49.2,116.4,6.45,100.8,,28.18,101.6,29,107.6,770.64,32.31,40.02,373.11,293.66,307.58,378.43,,1031.03,7548.8,377.1,1096.9,1.99,0.06,165.1,130.5,57.95,23.1,27.82,0.11,,9.96,141.7,6.58,15.23,1277,21.28,8.87,44.22,6.55,3.49,3.44,34,9933,376.7,23.51,0.37,,,,,,,,,
13,Hebei,1956,3589,513,3102,49.83,120.9,6.57,99.7,,25.01,89.4,24.57,90.1,681.81,20.72,39.78,367.22,293.65,443.99,405.01,,1353.61,7630.7,431.5,1147.1,2.54,0.08,126.6,132.1,99.4,,,99.4,,12.13,184.4,8.76,16.14,1358,24.78,10.23,57.77,8.74,6.38,5.4,34,11077,409,35.21,0.67,,,,,,,,,
13,Hebei,1957,3670,568,3165,52.3,129.9,6.69,101.3,,26.11,99.5,25.4,110.5,819.15,30.05,29.47,346.55,280.87,704.41,463.41,,1577.55,7983.2,358.6,935.8,3.04,0.11,184.1,98.4,,,,,,12.59,182,8.59,16.16,1520,24.77,11.44,60.65,9.76,5.95,5.78,34,12650,412.29,45.82,0.85,,,,,,,,,
13,Hebei,1958,3732,567,3256,63.61,157.2,14.84,99,,27.89,103.3,27.61,116.5,837.6,29.57,32.15,324.27,253.42,687.83,494.18,,2071.45,7364,341.5,958.1,4.4,0.19,256.2,25.7,,,,,,19.51,284.7,16.41,22.38,2527,36.91,11.8,67.44,16.15,13.47,15.09,50,17765,486.8,75.15,0.18,,,,,,,,,
13,Hebei,1959,3791,535,3736,74.21,183.3,21.02,99.6,,27,97.9,26.12,108.3,739.72,26.94,29.03,321.18,241.57,657.48,615.89,,2120.11,7067.6,381.3,921.7,3.55,0.26,332.2,6.9,,,,,,28.26,404.9,26.64,35.89,3608,42.35,26.92,89.26,23.35,15.06,15.83,57,20503,512.7,82.25,2.54,,,,,,,,,
13,Hebei,1960,3779,433,3294,73.44,100.2,22.15,104.4,,23.43,80.4,23.21,91.2,622.82,19.32,11.47,284.64,209.14,415.3,680.44,,1952.08,6786.4,324,929.2,3.86,0.51,229.9,7.7,,,,,,30.88,447.9,33.14,40.84,4144,69.81,38.67,107.61,35.1,15.2,17.52,249,21060,528.4,95.85,3.11,,,,,,,,,
13,Hebei,1961,3795,501,3409,54.87,113.5,15.16,104.8,,23.99,64.2,25.72,79.9,592.41,11.56,11.43,259.41,190.11,364.58,745.25,,1518.61,7019.8,247.4,770.7,2.58,1.03,160.8,7,,,,,,15.84,221.3,18.02,21.23,2964,19,13.96,29.84,29.36,5.08,5.4,289,23656,456.4,58.97,3.28,,,,,,,,,
13,Hebei,1962,3884,475,3555,48.73,101.9,10.76,100.4,,24.07,65.6,25.52,80.5,662.82,13.02,8.42,258.13,194.45,524.43,799.72,,1357.32,7085.5,208.7,667.8,2.73,1.92,117.8,40.6,,,,,,12.66,170.4,11.48,18.19,2510,13.15,8.79,26.59,25.19,2.5,3.25,319,23968,402.43,42.79,2.7,,,,,,,,,
